backend,snr_db,profile,attack,attack_profile,topk,n,n_clean_correct,n_attack_success,n_recovered,n_defended_correct,n_retained,n_retained_nodef,n_clean_topk_correct,n_clean_degraded,recovery_pct,recovery_ci95_lo_pct,recovery_ci95_hi_pct,defended_acc_pct,retention_pct,retention_nodef_pct,retention_gain_pp,clean_topk_acc_pct,clean_degradation_pct
CPU,16,apgdt/eps0.03_default,apgdt,eps0.03_default,10,110,94,72,21,38,28,22,40,56,29.166666666666668,19.937911717246713,40.50596077489481,34.54545454545455,29.78723404255319,23.404255319148938,6.382978723404253,36.36363636363637,59.57446808510638
CPU,16,apgdt/eps0.03_default,apgdt,eps0.03_default,20,110,94,72,14,47,36,22,85,12,19.444444444444446,11.951371043417634,30.032975278389916,42.72727272727273,38.297872340425535,23.404255319148938,14.893617021276597,77.27272727272727,12.76595744680851
CPU,16,apgdt/eps0.03_default,apgdt,eps0.03_default,30,110,94,72,15,48,37,22,87,9,20.833333333333336,13.05194089904011,31.56948058995801,43.63636363636363,39.361702127659576,23.404255319148938,15.957446808510639,79.0909090909091,9.574468085106384
CPU,16,apgdt/eps0.03_default,apgdt,eps0.03_default,40,110,94,72,12,44,34,22,92,2,16.666666666666664,9.799275085321623,26.910920902104795,40.0,36.17021276595745,23.404255319148938,12.765957446808514,83.63636363636363,2.127659574468085
CPU,16,autoattack/eps0.03_standard,autoattack,eps0.03_standard,10,110,94,75,19,36,26,19,40,56,25.333333333333336,16.859919647948146,36.21054061668372,32.72727272727273,27.659574468085108,20.212765957446805,7.446808510638302,36.36363636363637,59.57446808510638
CPU,16,autoattack/eps0.03_standard,autoattack,eps0.03_standard,20,110,94,75,21,52,40,19,85,12,28.000000000000004,19.103020085378443,39.040903934428364,47.27272727272727,42.5531914893617,20.212765957446805,22.340425531914896,77.27272727272727,12.76595744680851
CPU,16,autoattack/eps0.03_standard,autoattack,eps0.03_standard,30,110,94,75,12,43,31,19,87,9,16.0,9.39642132377429,25.916915797745315,39.09090909090909,32.97872340425532,20.212765957446805,12.765957446808514,79.0909090909091,9.574468085106384
CPU,16,autoattack/eps0.03_standard,autoattack,eps0.03_standard,40,110,94,75,11,41,30,19,92,2,14.666666666666666,8.391630937003363,24.384974306928775,37.27272727272727,31.914893617021278,20.212765957446805,11.702127659574472,83.63636363636363,2.127659574468085
CPU,16,ead/package_default,ead,package_default,10,110,94,94,35,38,35,0,40,56,37.234042553191486,28.143034496707227,47.32752199460117,34.54545454545455,37.234042553191486,0.0,37.234042553191486,36.36363636363637,59.57446808510638
CPU,16,ead/package_default,ead,package_default,20,110,94,94,65,69,65,0,85,12,69.14893617021278,59.21412315417918,77.58004210885822,62.727272727272734,69.14893617021278,0.0,69.14893617021278,77.27272727272727,12.76595744680851
CPU,16,ead/package_default,ead,package_default,30,110,94,94,72,75,72,0,87,9,76.59574468085107,67.09711260353912,84.00589470623505,68.18181818181817,76.59574468085107,0.0,76.59574468085107,79.0909090909091,9.574468085106384
CPU,16,ead/package_default,ead,package_default,40,110,94,94,72,73,72,0,92,2,76.59574468085107,67.09711260353912,84.00589470623505,66.36363636363637,76.59574468085107,0.0,76.59574468085107,83.63636363636363,2.127659574468085
CPU,16,ALL/ALL_24,ALL,ALL_24,10,2640,2256,1319,429,906,750,937,960,1344,32.52463987869598,30.050346464189065,35.10043198124234,34.31818181818182,33.244680851063826,41.53368794326241,-8.289007092198581,36.36363636363637,59.57446808510638
CPU,16,ALL/ALL_24,ALL,ALL_24,20,2640,2256,1319,443,1450,1266,937,2040,288,33.586050037907505,31.088133044735105,36.17930093980241,54.92424242424242,56.11702127659575,41.53368794326241,14.583333333333343,77.27272727272727,12.76595744680851
CPU,16,ALL/ALL_24,ALL,ALL_24,30,2640,2256,1319,420,1464,1284,937,2088,216,31.842304776345713,29.383972576364137,34.40609873678475,55.45454545454545,56.91489361702128,41.53368794326241,15.38120567375887,79.0909090909091,9.574468085106384
CPU,16,ALL/ALL_24,ALL,ALL_24,40,2640,2256,1319,377,1450,1280,937,2208,48,28.582259287338896,26.208918188886205,31.07999682557962,54.92424242424242,56.73758865248227,41.53368794326241,15.203900709219866,83.63636363636363,2.127659574468085
CPU,18,fgsm/eps0.005,fgsm,eps0.005,10,110,95,4,0,40,38,91,41,55,0.0,0.0,48.990002040399915,36.36363636363637,40.0,95.78947368421052,-55.78947368421052,37.27272727272727,57.89473684210527
CPU,18,fgsm/eps0.005,fgsm,eps0.005,20,110,95,4,0,79,77,91,81,15,0.0,0.0,48.990002040399915,71.81818181818181,81.05263157894737,95.78947368421052,-14.73684210526315,73.63636363636363,15.789473684210526
CPU,18,fgsm/eps0.005,fgsm,eps0.005,30,110,95,4,0,81,81,91,84,11,0.0,0.0,48.990002040399915,73.63636363636363,85.26315789473684,95.78947368421052,-10.526315789473685,76.36363636363637,11.578947368421053
CPU,18,fgsm/eps0.005,fgsm,eps0.005,40,110,95,4,0,89,88,91,91,4,0.0,0.0,48.990002040399915,80.9090909090909,92.63157894736842,95.78947368421052,-3.1578947368420955,82.72727272727273,4.2105263157894735
CPU,18,fgsm/eps0.01,fgsm,eps0.01,10,110,95,16,8,36,34,79,41,55,50.0,27.99923761135083,72.00076238864916,32.72727272727273,35.78947368421053,83.15789473684211,-47.36842105263158,37.27272727272727,57.89473684210527
CPU,18,fgsm/eps0.01,fgsm,eps0.01,20,110,95,16,9,79,73,79,81,15,56.25,33.17819560677652,76.90163666481448,71.81818181818181,76.84210526315789,83.15789473684211,-6.3157894736842195,73.63636363636363,15.789473684210526
CPU,18,fgsm/eps0.01,fgsm,eps0.01,30,110,95,16,8,81,77,79,84,11,50.0,27.99923761135083,72.00076238864916,73.63636363636363,81.05263157894737,83.15789473684211,-2.10526315789474,76.36363636363637,11.578947368421053
CPU,18,fgsm/eps0.01,fgsm,eps0.01,40,110,95,16,8,87,83,79,91,4,50.0,27.99923761135083,72.00076238864916,79.0909090909091,87.36842105263159,83.15789473684211,4.21052631578948,82.72727272727273,4.2105263157894735
CPU,18,fgsm/eps0.03,fgsm,eps0.03,10,110,95,50,14,33,26,45,41,55,28.000000000000004,17.47401435768036,41.66538714598967,30.0,27.368421052631582,47.368421052631575,-19.999999999999993,37.27272727272727,57.89473684210527
CPU,18,fgsm/eps0.03,fgsm,eps0.03,20,110,95,50,8,53,43,45,81,15,16.0,8.337321362087696,28.51448096176598,48.18181818181818,45.26315789473684,47.368421052631575,-2.1052631578947327,73.63636363636363,15.789473684210526
CPU,18,fgsm/eps0.03,fgsm,eps0.03,30,110,95,50,5,55,44,45,84,11,10.0,4.347512399157111,21.36049033478839,50.0,46.31578947368421,47.368421052631575,-1.0526315789473628,76.36363636363637,11.578947368421053
CPU,18,fgsm/eps0.03,fgsm,eps0.03,40,110,95,50,4,58,47,45,91,4,8.0,3.1549003255790686,18.838502545063704,52.72727272727272,49.473684210526315,47.368421052631575,2.10526315789474,82.72727272727273,4.2105263157894735
CPU,18,fgsm/eps0.05,fgsm,eps0.05,10,110,95,73,10,30,20,22,41,55,13.698630136986301,7.614307799620813,23.412635939187332,27.27272727272727,21.052631578947366,23.157894736842106,-2.10526315789474,37.27272727272727,57.89473684210527
CPU,18,fgsm/eps0.05,fgsm,eps0.05,20,110,95,73,8,38,27,22,81,15,10.95890410958904,5.658604161011908,20.162825897706284,34.54545454545455,28.421052631578945,23.157894736842106,5.263157894736839,73.63636363636363,15.789473684210526
CPU,18,fgsm/eps0.05,fgsm,eps0.05,30,110,95,73,6,37,26,22,84,11,8.21917808219178,3.821322997342026,16.794593381286216,33.63636363636363,27.368421052631582,23.157894736842106,4.210526315789476,76.36363636363637,11.578947368421053
CPU,18,fgsm/eps0.05,fgsm,eps0.05,40,110,95,73,2,35,23,22,91,4,2.73972602739726,0.7545600452515573,9.45032897319678,31.818181818181817,24.210526315789473,23.157894736842106,1.0526315789473664,82.72727272727273,4.2105263157894735
CPU,18,bim/eps0.03_default,bim,eps0.03_default,10,110,95,69,15,34,24,26,41,55,21.73913043478261,13.640646957336042,32.818519233412104,30.909090909090907,25.263157894736842,27.368421052631582,-2.10526315789474,37.27272727272727,57.89473684210527
CPU,18,bim/eps0.03_default,bim,eps0.03_default,20,110,95,69,11,46,34,26,81,15,15.942028985507244,9.141730642401868,26.334700407986915,41.81818181818181,35.78947368421053,27.368421052631582,8.421052631578945,73.63636363636363,15.789473684210526
CPU,18,bim/eps0.03_default,bim,eps0.03_default,30,110,95,69,8,45,33,26,84,11,11.594202898550725,5.993426545958408,21.24595314916087,40.909090909090914,34.73684210526316,27.368421052631582,7.368421052631575,76.36363636363637,11.578947368421053
CPU,18,bim/eps0.03_default,bim,eps0.03_default,40,110,95,69,6,45,32,26,91,4,8.695652173913043,4.0463070120907325,17.70170511284886,40.909090909090914,33.68421052631579,27.368421052631582,6.315789473684205,82.72727272727273,4.2105263157894735
CPU,18,pgd/eps0.005,pgd,eps0.005,10,110,95,5,1,40,38,90,41,55,20.0,3.6223160969787447,62.44717358814613,36.36363636363637,40.0,94.73684210526315,-54.73684210526315,37.27272727272727,57.89473684210527
CPU,18,pgd/eps0.005,pgd,eps0.005,20,110,95,5,1,78,76,90,81,15,20.0,3.6223160969787447,62.44717358814613,70.9090909090909,80.0,94.73684210526315,-14.73684210526315,73.63636363636363,15.789473684210526
CPU,18,pgd/eps0.005,pgd,eps0.005,30,110,95,5,1,81,81,90,84,11,20.0,3.6223160969787447,62.44717358814613,73.63636363636363,85.26315789473684,94.73684210526315,-9.473684210526315,76.36363636363637,11.578947368421053
CPU,18,pgd/eps0.005,pgd,eps0.005,40,110,95,5,1,89,88,90,91,4,20.0,3.6223160969787447,62.44717358814613,80.9090909090909,92.63157894736842,94.73684210526315,-2.1052631578947256,82.72727272727273,4.2105263157894735
CPU,18,pgd/eps0.01,pgd,eps0.01,10,110,95,25,12,39,35,70,41,55,48.0,30.031003928960015,66.50178204685268,35.45454545454545,36.84210526315789,73.68421052631578,-36.84210526315789,37.27272727272727,57.89473684210527
CPU,18,pgd/eps0.01,pgd,eps0.01,20,110,95,25,16,80,74,70,81,15,64.0,44.51815460104663,79.75234356826437,72.72727272727273,77.89473684210526,73.68421052631578,4.21052631578948,73.63636363636363,15.789473684210526
CPU,18,pgd/eps0.01,pgd,eps0.01,30,110,95,25,16,82,77,70,84,11,64.0,44.51815460104663,79.75234356826437,74.54545454545455,81.05263157894737,73.68421052631578,7.368421052631589,76.36363636363637,11.578947368421053
CPU,18,pgd/eps0.01,pgd,eps0.01,40,110,95,25,15,83,78,70,91,4,60.0,40.739127785127344,76.59694233580909,75.45454545454545,82.10526315789474,73.68421052631578,8.42105263157896,82.72727272727273,4.2105263157894735
CPU,18,pgd/eps0.03,pgd,eps0.03,10,110,95,67,14,32,23,28,41,55,20.8955223880597,12.875568729828915,32.07203267951249,29.09090909090909,24.210526315789473,29.47368421052631,-5.263157894736839,37.27272727272727,57.89473684210527
CPU,18,pgd/eps0.03,pgd,eps0.03,20,110,95,67,8,45,34,28,81,15,11.940298507462686,6.176158770587533,21.832243072397375,40.909090909090914,35.78947368421053,29.47368421052631,6.315789473684216,73.63636363636363,15.789473684210526
CPU,18,pgd/eps0.03,pgd,eps0.03,30,110,95,67,8,48,35,28,84,11,11.940298507462686,6.176158770587533,21.832243072397375,43.63636363636363,36.84210526315789,29.47368421052631,7.368421052631579,76.36363636363637,11.578947368421053
CPU,18,pgd/eps0.03,pgd,eps0.03,40,110,95,67,7,48,35,28,91,4,10.44776119402985,5.153704291423214,20.031497623835616,43.63636363636363,36.84210526315789,29.47368421052631,7.368421052631579,82.72727272727273,4.2105263157894735
CPU,18,mifgsm/eps0.03_default,mifgsm,eps0.03_default,10,110,95,68,15,33,24,27,41,55,22.058823529411764,13.84889157967965,33.25696352377016,30.0,25.263157894736842,28.421052631578945,-3.1578947368421026,37.27272727272727,57.89473684210527
CPU,18,mifgsm/eps0.03_default,mifgsm,eps0.03_default,20,110,95,68,12,49,36,27,81,15,17.647058823529413,10.393485385088718,28.360662629432117,44.54545454545455,37.89473684210527,28.421052631578945,9.473684210526322,73.63636363636363,15.789473684210526
CPU,18,mifgsm/eps0.03_default,mifgsm,eps0.03_default,30,110,95,68,9,49,36,27,84,11,13.23529411764706,7.122163958543324,23.28027696704853,44.54545454545455,37.89473684210527,28.421052631578945,9.473684210526322,76.36363636363637,11.578947368421053
CPU,18,mifgsm/eps0.03_default,mifgsm,eps0.03_default,40,110,95,68,8,48,35,27,91,4,11.76470588235294,6.083419938921196,21.535118623694334,43.63636363636363,36.84210526315789,28.421052631578945,8.421052631578945,82.72727272727273,4.2105263157894735
CPU,18,difgsm/eps0.03_default,difgsm,eps0.03_default,10,110,95,62,11,30,21,33,41,55,17.741935483870968,10.20633343436175,29.04180148338023,27.27272727272727,22.105263157894736,34.73684210526316,-12.631578947368421,37.27272727272727,57.89473684210527
CPU,18,difgsm/eps0.03_default,difgsm,eps0.03_default,20,110,95,62,6,39,26,33,81,15,9.67741935483871,4.51112577973332,19.54904286744415,35.45454545454545,27.368421052631582,34.73684210526316,-7.368421052631575,73.63636363636363,15.789473684210526
